date,bookings,clicks,booking_rate,weekday,trend_7d,expected,resid_ratio,robust_z,is_anomaly,holiday
2013-01-25,2606.0,24376,0.0965829071232673,Fri,2652.0,2595.6,1.004,0.11,False,
2013-01-26,2043.0,23849,0.0789046809825428,Sat,2642.6,1924.3,1.0617,1.74,False,
2013-01-27,2438.0,29409,0.0765535215247904,Sun,2652.7,2246.4,1.0853,2.41,False,
2013-01-28,2813.0,29088,0.088179053948152,Mon,2666.9,3030.7,0.9282,-2.03,False,
2013-01-29,2950.0,28459,0.093922124231908,Tue,2662.0,3023.9,0.9756,-0.69,False,
2013-01-30,2974.0,28110,0.095676232145155,Wed,2665.1,3009.0,0.9884,-0.33,False,
2013-01-31,2844.0,19830,0.1254300079386081,Thu,2631.7,2767.1,1.0278,0.78,False,
2013-02-01,2572.0,15611,0.1414508056976296,Fri,2660.7,2604.1,0.9877,-0.35,False,
2013-02-02,2065.0,16352,0.1121246674268339,Sat,2677.6,1949.8,1.0591,1.67,False,
2013-02-03,2204.0,19243,0.1027649554716277,Sun,2711.7,2296.4,0.9598,-1.13,False,
2013-02-04,3016.0,19900,0.1316111014138593,Mon,2681.3,3047.1,0.9898,-0.29,False,
2013-02-05,3068.0,19666,0.1349520541919592,Tue,2678.0,3042.1,1.0085,0.24,False,
2013-02-06,3213.0,19338,0.1424770520154316,Wed,2687.3,3034.0,1.059,1.66,False,
2013-02-07,2631.0,21767,0.1078367079268792,Thu,2717.6,2857.4,0.9208,-2.23,False,
2013-02-08,2549.0,24296,0.0949525051219966,Fri,2739.6,2681.3,0.9507,-1.39,False,
2013-02-09,2130.0,25051,0.0783635627828262,Sat,2741.7,1996.5,1.0669,1.89,False,
2013-02-10,2416.0,30135,0.0742219901078307,Sun,2705.1,2290.8,1.0546,1.54,False,
2013-02-11,3170.0,32653,0.0884906345085559,Mon,2732.6,3105.4,1.0208,0.59,False,
2013-02-12,3083.0,31260,0.0897708412194624,Tue,2763.4,3139.1,0.9821,-0.5,False,
2013-02-13,2957.0,30452,0.0885090843784608,Wed,2770.9,3128.4,0.9452,-1.54,False,
2013-02-14,2823.0,26115,0.0975533900062202,Thu,2763.0,2905.1,0.9717,-0.8,False,
2013-02-15,2765.0,26001,0.0961204199402071,Fri,2747.3,2688.8,1.0283,0.8,False,
2013-02-16,2182.0,24851,0.080716161728258,Sat,2751.1,2003.3,1.0892,2.52,False,
2013-02-17,2361.0,29408,0.0743177311215335,Sun,2773.0,2348.3,1.0054,0.15,False,
2013-02-18,3060.0,32574,0.0858730425997642,Mon,2785.4,3165.5,0.9667,-0.94,False,
2013-02-19,3110.0,30830,0.0916322922804949,Tue,2771.0,3147.7,0.988,-0.34,False,
2013-02-20,3110.0,30829,0.0916349921918736,Wed,2762.9,3119.3,0.997,-0.08,False,
2013-02-21,2910.0,29063,0.0910142933099803,Thu,2791.4,2935.0,0.9915,-0.24,False,
2013-02-22,2664.0,25757,0.0937335069139017,Fri,2800.7,2741.1,0.9719,-0.79,False,
2013-02-23,2125.0,25192,0.0777903869385364,Sat,2818.1,2052.1,1.0355,1.0,False,
2013-02-24,2561.0,30674,0.0770573190913194,Sun,2833.6,2399.6,1.0673,1.9,False,
2013-02-25,3125.0,31315,0.0907375145180023,Mon,2855.6,3245.2,0.963,-1.04,False,
2013-02-26,3232.0,32272,0.0910319963947724,Tue,2870.9,3261.1,0.9911,-0.25,False,
2013-02-27,3218.0,31296,0.0932375268007185,Wed,2907.4,3282.6,0.9803,-0.55,False,
2013-02-28,3064.0,28945,0.095723077884345,Thu,2934.6,3085.5,0.993,-0.2,False,
2013-03-01,2771.0,26036,0.0961918978026174,Fri,2969.7,2906.5,0.9534,-1.32,False,
2013-03-02,2381.0,25064,0.0867553288394971,Sat,2988.3,2176.0,1.0942,2.66,False,
2013-03-03,2751.0,32777,0.0774318847106507,Sun,3027.3,2563.6,1.0731,2.06,False,
2013-03-04,3371.0,32926,0.0928726892029644,Mon,3023.6,3436.1,0.9811,-0.53,False,
2013-03-05,3362.0,33388,0.0914829931972789,Tue,3045.7,3459.8,0.9717,-0.8,False,
2013-03-06,3491.0,34323,0.0923203046490717,Wed,3033.9,3425.3,1.0192,0.54,False,
2013-03-07,3038.0,30840,0.0896747151543774,Thu,3010.9,3165.7,0.9596,-1.14,False,
2013-03-08,2926.0,27110,0.0974164336129977,Fri,2995.1,2931.4,0.9981,-0.05,False,
2013-03-09,2298.0,26568,0.0796092288505508,Sat,2990.1,2177.4,1.0554,1.56,False,
2013-03-10,2590.0,31391,0.0762190635943615,Sun,2958.6,2505.5,1.0337,0.95,False,
2013-03-11,3261.0,33985,0.0875530258282768,Mon,2969.7,3374.9,0.9663,-0.95,False,
2013-03-12,3327.0,32147,0.0937869989287929,Tue,2953.1,3354.6,0.9918,-0.23,False,
2013-03-13,3270.0,31783,0.0932873077910592,Wed,2949.1,3329.6,0.9821,-0.51,False,
2013-03-14,3116.0,29964,0.0941958887545344,Thu,2963.0,3115.4,1.0002,0.01,False,
2013-03-15,2810.0,26869,0.0946797398834192,Fri,2954.7,2891.9,0.9717,-0.8,False,
2013-03-16,2270.0,25225,0.0825604655391889,Sat,2936.3,2138.1,1.0617,1.74,False,
2013-03-17,2687.0,30488,0.0809947249434815,Sun,2939.4,2489.2,1.0794,2.24,False,
2013-03-18,3203.0,32501,0.0897098364328926,Mon,2893.3,3288.0,0.9741,-0.73,False,
2013-03-19,3198.0,32454,0.08970043756311,Tue,2888.9,3281.6,0.9745,-0.72,False,
2013-03-20,3292.0,32608,0.0916991643454039,Wed,2895.1,3268.7,1.0071,0.2,False,
2013-03-21,2793.0,29726,0.0858882499461853,Thu,2888.9,3037.5,0.9195,-2.27,False,
2013-03-22,2779.0,25787,0.0972834838619337,Fri,2851.1,2790.5,0.9959,-0.12,False,
2013-03-23,2314.0,25174,0.0841821885913853,Sat,2852.9,2077.4,1.1139,3.21,False,
2013-03-24,2643.0,31115,0.0782925528763552,Sun,2824.0,2391.5,1.1052,2.97,False,
2013-03-25,2939.0,32038,0.0840266460817108,Mon,2856.7,3246.5,0.9053,-2.67,False,
2013-03-26,3210.0,30228,0.0959985645074466,Tue,2822.4,3206.1,1.0012,0.03,False,
2013-03-27,3090.0,30678,0.0915067519545131,Wed,2773.7,3131.6,0.9867,-0.37,False,
2013-03-28,3022.0,27289,0.099699778958134,Thu,2727.0,2867.3,1.054,1.52,False,
2013-03-29,2539.0,24328,0.0945025495961588,Fri,2760.1,2701.4,0.9399,-1.7,False,
2013-03-30,1973.0,21707,0.0833192567567567,Sat,2795.7,2035.8,0.9692,-0.87,False,
2013-03-31,2316.0,25382,0.0836161455700772,Sun,2836.7,2402.3,0.9641,-1.01,False,
2013-04-01,3171.0,31225,0.0921909524363298,Mon,2851.4,3240.5,0.9786,-0.6,False,
2013-04-02,3459.0,34313,0.0915757704119453,Tue,2888.9,3281.6,1.0541,1.52,False,
2013-04-03,3377.0,33188,0.092356078216874,Wed,2916.0,3292.2,1.0257,0.73,False,
2013-04-04,3125.0,29562,0.095603756845229,Thu,2949.6,3101.3,1.0076,0.22,False,
2013-04-05,2801.0,26036,0.0971321566043624,Fri,2978.3,2914.9,0.9609,-1.1,False,
2013-04-06,2163.0,24033,0.0825698579935868,Sat,2947.9,2146.6,1.0077,0.22,False,
2013-04-07,2551.0,28945,0.0809944119888239,Sun,2920.6,2473.3,1.0314,0.89,False,
2013-04-08,3372.0,32105,0.0950474955605039,Mon,2893.1,3287.9,1.0256,0.72,False,
2013-04-09,3246.0,32277,0.0913774174478506,Tue,2882.3,3274.1,0.9914,-0.24,False,
2013-04-10,3186.0,31462,0.0919533595012699,Wed,2869.6,3239.8,0.9834,-0.47,False,
2013-04-11,2933.0,28279,0.0939702678457003,Thu,2868.7,3016.3,0.9724,-0.78,False,
2013-04-12,2725.0,25458,0.0966894936663946,Fri,2822.1,2762.1,0.9866,-0.38,False,
2013-04-13,2074.0,23031,0.0826130252937661,Sat,2815.9,2050.4,1.0115,0.32,False,
2013-04-14,2545.0,28250,0.0826432862477675,Sun,2830.9,2397.3,1.0616,1.74,False,
2013-04-15,3046.0,29286,0.0942100705183719,Mon,2840.0,3227.5,0.9438,-1.59,False,
2013-04-16,3202.0,30677,0.0945128250538681,Tue,2826.7,3211.0,0.9972,-0.08,False,
2013-04-17,3291.0,31187,0.0954521723997911,Wed,2843.1,3210.0,1.0252,0.71,False,
2013-04-18,2997.0,28326,0.0956804903744852,Thu,2845.3,2991.7,1.0018,0.05,False,
2013-04-19,2632.0,24037,0.0986913645056057,Fri,2885.7,2824.3,0.9319,-1.92,False,
2013-04-20,2189.0,23777,0.0843025494877917,Sat,2830.1,2060.9,1.0622,1.75,False,
2013-04-21,2560.0,30087,0.0784145557019021,Sun,2805.9,2376.1,1.0774,2.18,False,
2013-04-22,3329.0,32866,0.0919740295620942,Mon,2741.0,3115.0,1.0687,1.94,False,
2013-04-23,2813.0,27624,0.0924204093701744,Tue,2743.0,3115.9,0.9028,-2.74,False,
2013-04-24,3121.0,29685,0.0951350362738523,Wed,2720.1,3071.1,1.0162,0.46,False,
2013-04-25,2543.0,27063,0.0858947510639735,Thu,2669.4,2806.8,0.906,-2.65,False,
2013-04-26,2646.0,24177,0.0986466838161279,Fri,2675.7,2618.8,1.0104,0.29,False,
2013-04-27,2029.0,21871,0.0848953974895397,Sat,2730.3,1988.1,1.0206,0.58,False,
2013-04-28,2205.0,26328,0.0772789401745347,Sun,2747.7,2326.9,0.9476,-1.48,False,
2013-04-29,3373.0,30759,0.0988222196179538,Mon,2819.6,3204.3,1.0527,1.49,False,
2013-04-30,3195.0,30688,0.094295074226013,Tue,2770.9,3147.6,1.0151,0.43,False,
2013-05-01,3243.0,32050,0.0918879097838098,Wed,2788.1,3147.9,1.0302,0.85,False,
2013-05-02,3046.0,27995,0.0981282819496794,Thu,2833.3,2979.0,1.0225,0.63,False,
2013-05-03,2305.0,19069,0.1078413025170768,Fri,2814.6,2754.7,0.8368,-4.6,True,
2013-05-04,2150.0,21752,0.0899506317462973,Sat,2860.6,2083.0,1.0322,0.91,False,
2013-05-05,2521.0,26930,0.0855998098536552,Sun,2880.0,2438.9,1.0337,0.95,False,
2013-05-06,3242.0,31370,0.0936669363226626,Mon,2884.4,3278.0,0.989,-0.31,False,
2013-05-07,3517.0,31954,0.0991514194694257,Tue,2972.1,3376.2,1.0417,1.18,False,
2013-05-08,3379.0,30696,0.0991636096845194,Wed,2983.1,3368.0,1.0033,0.09,False,
2013-05-09,3077.0,28280,0.098128009694805,Thu,2989.9,3143.7,0.9788,-0.6,False,
2013-05-10,2919.0,25337,0.1033054926387316,Fri,3042.6,2977.8,0.9802,-0.56,False,
2013-05-11,2227.0,23727,0.0858056561609,Sat,3016.9,2196.8,1.0137,0.39,False,
2013-05-12,2568.0,28177,0.0835257765490323,Sun,3032.4,2568.0,1.0,0.0,False,
2013-05-13,3611.0,32866,0.0989938865586534,Mon,3041.1,3456.1,1.0448,1.26,False,
2013-05-14,3337.0,30921,0.0974079047229844,Tue,3020.3,3430.9,0.9726,-0.77,False,
2013-05-15,3488.0,31363,0.100083211385613,Wed,3005.3,3393.0,1.028,0.79,False,
2013-05-16,3138.0,28698,0.098567659253675,Thu,3013.6,3168.6,0.9903,-0.27,False,
2013-05-17,2773.0,24879,0.1002820772457688,Fri,2973.9,2910.6,0.9527,-1.33,False,
2013-05-18,2122.0,22696,0.0855024578934644,Sat,2968.1,2161.3,0.9818,-0.51,False,
2013-05-19,2626.0,28661,0.0839326237734522,Sun,2962.3,2508.6,1.0468,1.32,False,
2013-05-20,3333.0,32799,0.0922451012952507,Mon,2949.0,3351.4,0.9945,-0.15,False,
2013-05-21,3297.0,32268,0.0927035006326444,Tue,2953.4,3354.9,0.9827,-0.49,False,
2013-05-22,3447.0,31648,0.0982191195326969,Wed,2935.6,3314.3,1.04,1.13,False,
2013-05-23,3045.0,28999,0.0950255898140057,Thu,2867.0,3014.5,1.0101,0.29,False,
2013-05-24,2804.0,25020,0.1007763082231167,Fri,2810.9,2751.1,1.0192,0.54,False,
2013-05-25,1997.0,21167,0.086211362458988,Sat,2829.4,2060.3,0.9693,-0.87,False,
2013-05-26,2146.0,24314,0.0811035525321239,Sun,2808.7,2378.5,0.9022,-2.76,False,
2013-05-27,2940.0,30337,0.0883493103344652,Mon,2813.0,3196.8,0.9197,-2.27,False,Memorial Day
2013-05-28,3427.0,32360,0.0957610305418168,Tue,2818.1,3201.3,1.0705,1.99,False,
2013-05-29,3302.0,30865,0.0966429595808821,Wed,2840.6,3207.1,1.0296,0.83,False,
2013-05-30,3075.0,28708,0.0967498348173551,Thu,2914.4,3064.4,1.0035,0.1,False,
2013-05-31,2840.0,24914,0.1023275924191107,Fri,2998.3,2934.5,0.9678,-0.91,False,
2013-06-01,2154.0,22308,0.0880549423595781,Sat,3025.7,2203.3,0.9776,-0.63,False,
2013-06-02,2663.0,29683,0.0823285723118778,Sun,3075.4,2604.4,1.0225,0.63,False,
2013-06-03,3527.0,32690,0.0973852058425601,Mon,3109.1,3533.3,0.9982,-0.05,False,
2013-06-04,3619.0,34283,0.0954830879636958,Tue,3138.7,3565.4,1.015,0.42,False,
2013-06-05,3650.0,33886,0.0972399829497016,Wed,3150.0,3556.4,1.0263,0.74,False,
2013-06-06,3311.0,30092,0.099122833278448,Thu,3156.9,3319.3,0.9975,-0.07,False,
2013-06-07,3047.0,27762,0.0988996721737154,Fri,3157.9,3090.7,0.9859,-0.4,False,
2013-06-08,2233.0,25064,0.0818038612301718,Sat,3125.3,2275.8,0.9812,-0.53,False,
2013-06-09,2711.0,31460,0.0793362793011618,Sun,3107.1,2631.3,1.0303,0.85,False,
2013-06-10,3534.0,35254,0.09111065277921,Mon,3105.9,3529.6,1.0012,0.04,False,
2013-06-11,3391.0,33234,0.0925870307167235,Tue,3096.6,3517.5,0.964,-1.01,False,
2013-06-12,3523.0,33044,0.0963436978696639,Wed,3089.4,3488.0,1.01,0.28,False,
2013-06-13,3302.0,30818,0.0967760844079718,Thu,3067.9,3225.7,1.0237,0.67,False,
2013-06-14,2982.0,27125,0.099046733317833,Fri,3076.1,3010.7,0.9905,-0.27,False,
2013-06-15,2183.0,24119,0.082997490685119,Sat,3079.0,2242.1,0.9737,-0.74,False,
2013-06-16,2560.0,29122,0.0808029796098731,Sun,3046.6,2580.0,0.9923,-0.22,False,
2013-06-17,3592.0,35618,0.0916092833460851,Mon,3025.1,3437.9,1.0448,1.26,False,
2013-06-18,3411.0,35429,0.0878218331616889,Tue,3000.1,3408.0,1.0009,0.02,False,
2013-06-19,3296.0,34417,0.0873969188343542,Wed,3018.6,3408.0,0.9671,-0.93,False,
2013-06-20,3152.0,31655,0.090556497256299,Thu,3033.7,3189.8,0.9882,-0.33,False,
2013-06-21,2807.0,27661,0.0921294472889589,Fri,3012.3,2948.2,0.9521,-1.35,False,
2013-06-22,2312.0,25455,0.0832643065509417,Sat,3033.7,2209.1,1.0466,1.31,False,
2013-06-23,2666.0,30668,0.0799784004319913,Sun,3019.3,2556.9,1.0427,1.2,False,
2013-06-24,3442.0,34431,0.0908826868745544,Mon,2997.1,3406.1,1.0106,0.3,False,
2013-06-25,3561.0,34625,0.0932540721730477,Tue,3024.6,3435.8,1.0365,1.03,False,
2013-06-26,3195.0,33125,0.0879680616740088,Wed,3005.6,3393.4,0.9415,-1.65,False,
2013-06-27,2997.0,31998,0.0856408058294042,Thu,2997.7,3151.9,0.9508,-1.39,False,
2013-06-28,2999.0,28472,0.0952940802643703,Fri,2977.7,2914.4,1.029,0.82,False,
2013-06-29,2179.0,25249,0.079444363424238,Sat,2979.6,2169.7,1.0043,0.12,False,
2013-06-30,2611.0,29452,0.0814334279387456,Sun,2994.4,2535.8,1.0296,0.84,False,
2013-07-01,3302.0,35048,0.0861016949152542,Mon,2948.1,3350.4,0.9856,-0.41,False,
2013-07-02,3574.0,35629,0.0911664923602785,Tue,2922.1,3319.4,1.0767,2.16,False,
2013-07-03,3299.0,32491,0.0921765856384465,Wed,2921.9,3298.8,1.0,0.0,False,
2013-07-04,2673.0,28263,0.0864041892940263,Thu,2921.6,3071.9,0.8702,-3.66,True,Independence Day
2013-07-05,2817.0,26797,0.0951239278719524,Fri,2934.6,2872.1,0.9808,-0.54,False,
2013-07-06,2177.0,24795,0.0807133323446537,Sat,2915.0,2122.6,1.0256,0.72,False,
2013-07-07,2609.0,29542,0.0811483313116232,Sun,2950.4,2498.6,1.0442,1.25,False,
2013-07-08,3393.0,36054,0.0860141455624001,Mon,3018.3,3430.1,0.9892,-0.3,False,
2013-07-09,3437.0,37101,0.0847846465045142,Tue,3045.1,3459.1,0.9936,-0.18,False,
2013-07-10,3547.0,35795,0.0901581007574602,Wed,3070.0,3466.1,1.0233,0.66,False,
2013-07-11,3148.0,32485,0.0883450733870288,Thu,3056.6,3213.8,0.9795,-0.58,False,
2013-07-12,3005.0,28779,0.094544424867858,Fri,3077.4,3012.0,0.9977,-0.07,False,
2013-07-13,2351.0,25505,0.0843983342906375,Sat,3077.6,2241.0,1.0491,1.38,False,
2013-07-14,2515.0,29530,0.0784833827430176,Sun,3045.9,2579.4,0.975,-0.7,False,
2013-07-15,3539.0,36597,0.0881752043053617,Mon,3041.7,3456.7,1.0238,0.67,False,
2013-07-16,3438.0,35493,0.0883100870771364,Tue,3063.9,3480.4,0.9878,-0.34,False,
2013-07-17,3325.0,33802,0.0895574649177148,Wed,3056.3,3450.6,0.9636,-1.03,False,
2013-07-18,3119.0,32500,0.087565625087734,Thu,3067.9,3225.7,0.9669,-0.93,False,
2013-07-19,3160.0,29950,0.0954394442766535,Fri,3065.6,3000.4,1.0532,1.5,False,
2013-07-20,2298.0,25705,0.0820626361461272,Sat,3081.7,2244.0,1.024,0.68,False,
2013-07-21,2596.0,30496,0.0784479632539586,Sun,3104.0,2628.6,0.9876,-0.35,False,
2013-07-22,3523.0,38003,0.0848384144873091,Mon,3116.6,3541.8,0.9947,-0.15,False,
2013-07-23,3551.0,36566,0.0885160904354762,Tue,3055.3,3470.6,1.0232,0.65,False,
2013-07-24,3481.0,33776,0.0934321067182006,Wed,3062.3,3457.4,1.0068,0.19,False,
2013-07-25,3207.0,32447,0.0899478319403152,Thu,3108.7,3268.6,0.9811,-0.53,False,
2013-07-26,2731.0,27026,0.0917767248042477,Fri,3087.7,3022.0,0.9037,-2.72,False,
2013-07-27,2347.0,26465,0.081459114257948,Sat,3099.6,2257.0,1.0399,1.12,False,
2013-07-28,2921.0,33428,0.0803598448375471,Sun,3133.3,2653.4,1.1008,2.84,False,
2013-07-29,3376.0,37398,0.0827978613822534,Mon,3175.6,3608.8,0.9355,-1.82,False,
2013-07-30,3634.0,36605,0.0903103953875593,Tue,3245.3,3686.5,0.9858,-0.4,False,
2013-07-31,3717.0,36318,0.092843761708505,Wed,3251.4,3670.9,1.0125,0.35,False,
2013-08-01,3503.0,32929,0.0961517347386912,Thu,3214.6,3379.9,1.0364,1.03,False,
2013-08-02,3219.0,29711,0.097752808988764,Fri,3235.7,3166.9,1.0165,0.46,False,
2013-08-03,2390.0,25767,0.0848812018325815,Sat,3226.9,2349.7,1.0171,0.48,False,
2013-08-04,2663.0,31297,0.0784157832744405,Sun,3194.4,2705.2,0.9844,-0.44,False,
2013-08-05,3524.0,36531,0.0879790288353513,Mon,3173.0,3605.9,0.9773,-0.64,False,
2013-08-06,3572.0,36037,0.0901815244010199,Tue,3153.6,3582.3,0.9971,-0.08,False,
2013-08-07,3490.0,35070,0.0905082987551867,Wed,3133.1,3537.4,0.9866,-0.38,False,
2013-08-08,3353.0,31677,0.0957179560376819,Thu,3123.0,3283.7,1.0211,0.6,False,
2013-08-09,3083.0,29051,0.0959419929047115,Fri,3124.7,3058.2,1.0081,0.23,False,
2013-08-10,2247.0,24313,0.0846009036144578,Sat,3108.7,2263.7,0.9926,-0.21,False,
2013-08-11,2592.0,28283,0.0839514170040485,Sun,3106.9,2631.0,0.9852,-0.42,False,
2013-08-12,3536.0,34509,0.0929425680115652,Mon,3078.3,3498.3,1.0108,0.3,False,
2013-08-13,3460.0,33433,0.0937847288103434,Tue,3067.7,3484.8,0.9929,-0.2,False,
2013-08-14,3477.0,32435,0.0968200044553352,Wed,3044.3,3437.1,1.0116,0.33,False,
2013-08-15,3153.0,30163,0.094639212390443,Thu,3036.4,3192.6,0.9876,-0.35,False,
2013-08-16,3009.0,26415,0.102263458401305,Fri,3019.4,2955.2,1.0182,0.51,False,
2013-08-17,2083.0,23472,0.0815104676188612,Sat,3030.9,2207.0,0.9438,-1.58,False,
2013-08-18,2537.0,27725,0.083834511929152,Sun,3009.1,2548.3,0.9956,-0.12,False,
2013-08-19,3417.0,31862,0.0968564868618725,Mon,3009.0,3419.5,0.9993,-0.02,False,
2013-08-20,3540.0,34260,0.0936507936507936,Tue,3017.9,3428.1,1.0326,0.92,False,
2013-08-21,3325.0,32665,0.0923867741039177,Wed,3047.9,3441.1,0.9663,-0.95,False,
2013-08-22,3152.0,29561,0.0963531317824718,Thu,3050.4,3207.4,0.9827,-0.49,False,
2013-08-23,3071.0,27544,0.1003103054058468,Fri,3055.6,2990.6,1.0269,0.76,False,
2013-08-24,2293.0,23389,0.089284323650806,Sat,3054.4,2224.2,1.0309,0.87,False,
2013-08-25,2555.0,28514,0.0822363127232933,Sun,3073.6,2602.8,0.9816,-0.52,False,
2013-08-26,3453.0,33447,0.0935772357723577,Mon,3013.9,3425.1,1.0082,0.23,False,
2013-08-27,3532.0,33279,0.0959495802885007,Tue,2993.7,3400.7,1.0386,1.09,False,
2013-08-28,3459.0,32444,0.0963429239896387,Wed,2958.7,3340.5,1.0355,1.0,False,
2013-08-29,2734.0,26448,0.0936878897950791,Thu,2911.3,3061.0,0.8932,-3.01,False,
2013-08-30,2930.0,25932,0.1015175663502182,Fri,2830.3,2770.1,1.0577,1.63,False,
2013-08-31,2048.0,22092,0.0848384424192212,Sat,2833.7,2063.5,0.9925,-0.21,False,
2013-09-01,2223.0,24264,0.0839279646619096,Sun,2848.7,2412.4,0.9215,-2.21,False,
2013-09-02,2886.0,31025,0.0851051281295155,Mon,2931.6,3331.5,0.8663,-3.77,True,Labor Day
2013-09-03,3556.0,33128,0.0969359938937956,Tue,2958.1,3360.3,1.0582,1.64,False,
2013-09-04,3564.0,32355,0.0992232523177148,Wed,2977.3,3361.4,1.0603,1.7,False,
2013-09-05,3314.0,29907,0.0997561783209415,Thu,3033.1,3189.2,1.0391,1.1,False,
2013-09-06,3116.0,27160,0.1029198044655833,Fri,3071.6,3006.2,1.0365,1.03,False,
2013-09-07,2182.0,23922,0.0835887220349371,Sat,2994.9,2180.8,1.0006,0.02,False,
2013-09-08,2614.0,28475,0.0840811862716716,Sun,2917.6,2470.7,1.058,1.64,False,
2013-09-09,3155.0,32704,0.0879834908948938,Mon,2910.7,3307.8,0.9538,-1.3,False,
2013-09-10,3019.0,30906,0.0889904200442151,Tue,2907.3,3302.5,0.9141,-2.42,False,
2013-09-11,3023.0,30476,0.090241499746261,Wed,2904.1,3278.8,0.922,-2.2,False,
2013-09-12,3266.0,29671,0.0991590005161368,Thu,2902.7,3052.0,1.0701,1.98,False,
2013-09-13,3092.0,27321,0.1016670502745536,Fri,2961.3,2898.3,1.0668,1.89,False,
2013-09-14,2160.0,24074,0.0823358999771289,Sat,3028.1,2205.0,0.9796,-0.58,False,
2013-09-15,2604.0,28698,0.0831895725512746,Sun,3072.6,2602.0,1.0008,0.02,False,
2013-09-16,3565.0,35875,0.0903904665314401,Mon,3058.9,3476.2,1.0255,0.72,False,
2013-09-17,3487.0,33183,0.0950913553313335,Tue,3029.7,3441.6,1.0132,0.37,False,
2013-09-18,3334.0,31268,0.0963528119761863,Wed,3015.7,3404.8,0.9792,-0.59,False,
2013-09-19,3170.0,28840,0.0990315526398,Thu,2977.9,3131.0,1.0124,0.35,False,
2013-09-20,2888.0,25591,0.101408055058113,Fri,2964.7,2901.6,0.9953,-0.13,False,
2013-09-21,2062.0,22984,0.0823285155314221,Sat,2959.4,2155.0,0.9568,-1.22,False,
2013-09-22,2339.0,27578,0.0781829728916669,Sun,2986.6,2529.2,0.9248,-2.12,False,
2013-09-23,3473.0,32988,0.095252461534242,Mon,2984.9,3392.1,1.0238,0.67,False,
2013-09-24,3450.0,31665,0.0982486117043998,Tue,2978.9,3383.8,1.0196,0.55,False,
2013-09-25,3524.0,30591,0.1032976696467829,Wed,2969.9,3353.0,1.051,1.44,False,
2013-09-26,3158.0,28253,0.1005380280793352,Thu,2986.4,3140.1,1.0057,0.16,False,
2013-09-27,2846.0,24644,0.1035285558384867,Fri,3019.7,2955.5,0.963,-1.04,False,
2013-09-28,1999.0,21841,0.0838506711409396,Sat,3034.0,2209.3,0.9048,-2.68,False,
2013-09-29,2455.0,27117,0.0830177194643581,Sun,3021.1,2558.4,0.9596,-1.14,False,
2013-09-30,3706.0,32835,0.1014203223776032,Mon,3042.9,3458.0,1.0717,2.02,False,
2013-10-01,3550.0,32346,0.0988968130153777,Tue,3073.7,3491.6,1.0167,0.47,False,
2013-10-02,3434.0,31096,0.0994497538372429,Wed,3116.1,3518.2,0.9761,-0.67,False,
2013-10-03,3310.0,28932,0.1026611252403697,Thu,3123.7,3284.4,1.0078,0.22,False,
2013-10-04,3062.0,27037,0.1017309545167613,Fri,3094.0,3028.2,1.0112,0.31,False,
2013-10-05,2296.0,23860,0.0877810062700718,Sat,3076.4,2240.2,1.0249,0.7,False,
2013-10-06,2508.0,28274,0.0814761873822363,Sun,3071.4,2601.0,0.9642,-1.01,False,
2013-10-07,3498.0,33376,0.0948635895210717,Mon,3028.6,3441.8,1.0163,0.46,False,
2013-10-08,3427.0,32707,0.0948414235899706,Tue,3019.4,3429.9,0.9991,-0.02,False,
2013-10-09,3399.0,31779,0.0966228893058161,Wed,2974.4,3358.2,1.0122,0.34,False,
